	Data	NWTMean	NWTMeanDev	NWTHetPer	NWTHetPerDev	NWTHtRCon	NpatSdelMean	NpatSdelMeanDev	NpatSdelHetPer	NpatSdelHetPerDev	NpatSdelHtRCon	NhetNdelMean	NhetNdelMeanDev	NhetNdelHetPer	NhetNdelHetPerDev	NhetNdelHtRCon	NpatAdelHetPer	NpatAdelHetPerDev	NpatAdelHtRCon	NpatAhetNdelHetPer	NpatAhetNdelHetPerDev	NpatAhetNdelHtRCon	NhetFdelHtRCon	NpatXpatSdelMean	NpatXpatSdelMeanDev	NpatXpatSdelHetPer	NpatXpatSdelHetPerDev	NpatXpatSdelHtRCon	NpatApatSdelMean	NpatApatSdelMeanDev	NpatApatSdelHetPer	NpatApatSdelHetPerDev	NpatApatSdelHtRCon	NpatXdelMean	NpatXdelMeanDev	NpatXdelHetPer	NpatXdelHetPerDev	NpatXdelHtRCon
28.0		10.5	0.5	9.8	0.6	42.2	4.0	0.2	21.0	0.9	34.5	5.7	0.3	16.0	0.9	59.4	2.5	0.4	52.8	2.7	0.5	56.3	56.3	3.1	0.1	25.2	0.8	32.5	6.0	0.2	15.2	0.6	39.2	9.4	0.4	11.1	0.5	40.0
29.0		10.4	0.5	9.9	0.7	41.8	4.1	0.1	20.8	0.9	34.3	5.5	0.2	16.4	0.9	59.2	2.5	0.4	52.8	2.8	0.5	56.3	56.3	3.2	0.1	24.9	0.8	32.4	6.1	0.2	15.0	0.7	39.1	9.4	0.4	11.1	0.5	39.9
30.0		10.5	0.5	9.8	0.7	41.7	4.2	0.2	20.5	0.8	34.4	5.4	0.2	16.5	1.0	59.1	2.5	0.4	52.9	2.8	0.5	56.2	56.2	3.2	0.1	24.6	0.8	32.8	6.2	0.2	14.9	0.5	39.4	9.4	0.4	11.0	0.5	39.8
31.0		10.6	0.5	9.8	0.8	41.6	4.3	0.2	20.1	0.8	35.0	5.2	0.2	17.0	0.8	58.8	2.4	0.4	52.9	2.7	0.5	56.2	56.2	3.4	0.1	23.9	0.8	33.6	6.3	0.2	14.6	0.5	39.9	9.6	0.4	10.8	0.4	39.9
32.0		10.6	0.5	9.7	0.7	41.5	4.4	0.2	19.6	0.7	35.5	5.1	0.2	17.2	0.9	58.6	2.4	0.4	53.0	2.7	0.5	56.2	56.2	3.5	0.1	23.3	0.8	34.8	6.5	0.3	14.2	0.5	40.6	9.8	0.4	10.7	0.4	40.1
33.0		10.8	0.5	9.5	0.7	41.7	4.5	0.2	19.1	0.7	36.5	5.1	0.2	17.2	1.1	58.6	2.3	0.4	53.1	2.6	0.5	56.1	56.1	3.6	0.1	22.6	0.8	36.3	6.8	0.3	13.7	0.5	41.9	10.0	0.4	10.4	0.5	40.4
34.0		11.1	0.5	9.2	0.7	42.0	4.7	0.2	18.5	0.7	37.5	5.2	0.2	17.0	1.0	58.6	2.2	0.3	53.2	2.5	0.5	56.2	56.2	3.7	0.1	22.0	0.9	38.0	7.0	0.3	13.4	0.5	43.5	10.1	0.4	10.2	0.5	40.7
35.0		11.3	0.5	9.0	0.7	42.3	4.9	0.2	17.9	0.7	38.8	5.3	0.2	16.8	1.0	58.5	2.2	0.3	53.2	2.4	0.5	56.1	56.1	3.9	0.1	21.3	0.8	39.8	7.3	0.3	13.0	0.4	45.2	10.4	0.4	9.9	0.6	41.1
36.0		11.6	0.5	8.8	0.7	42.6	5.1	0.2	17.4	0.7	40.3	5.3	0.2	16.6	0.9	58.4	2.1	0.3	53.3	2.3	0.4	56.0	56.0	4.0	0.1	20.7	0.8	41.5	7.5	0.3	12.6	0.5	47.0	10.8	0.4	9.6	0.6	41.6
37.0		11.9	0.5	8.5	0.7	43.0	5.3	0.2	16.9	0.7	42.3	5.4	0.2	16.3	0.8	58.5	2.0	0.3	53.3	2.3	0.4	56.0	56.0	4.2	0.2	20.1	0.8	43.3	7.8	0.3	12.2	0.5	49.2	11.1	0.4	9.3	0.5	42.0
38.0		12.1	0.5	8.3	0.6	43.2	5.4	0.2	16.5	0.7	44.3	5.5	0.2	16.1	0.8	58.7	2.0	0.3	53.4	2.2	0.4	56.1	56.1	4.3	0.2	19.5	0.9	45.4	8.1	0.3	11.9	0.5	51.2	11.4	0.5	9.1	0.4	42.5
39.0		12.4	0.5	8.1	0.6	43.6	5.6	0.2	16.0	0.7	46.3	5.6	0.2	15.8	0.8	58.6	1.9	0.3	53.5	2.2	0.4	56.0	56.0	4.5	0.2	19.2	1.0	47.3	8.2	0.3	11.7	0.5	52.6	11.6	0.5	8.9	0.4	43.0
